Team,Iron Bank,Episode 2 Score,Movement from Previous Episode,Episode 2 Rank,Episode 1 Score,Episode 1 Rank
Lady Kristi of the House of Brooks,Paying,45.0,0.0,1,45.0,1
Safari Ary,Paying,44.0,0.0,2,44.0,2
Bri-Enne Of Green Gables,Paying,43.0,0.0,3,43.0,3
Dany Snow,Paying,41.0,0.0,4,41.0,4
"Lacy of House Garrison, Breaker of Games, Protector of Spoilers, King of West Hollywood, Father of Brad",Paying,41.0,0.0,4,41.0,4
Lady Elizabeth of House Wray,Free,41.0,0.0,4,41.0,4
Stop Dragon My Horse Heart Around,Paying,39.0,0.0,7,39.0,7
"Carolyn of House Tambini, the First of Her Name, Queen of Kings, Burner of Princesses",Paying,39.0,,7,,
Bronn Swanson,Paying,39.0,0.0,7,39.0,7
Flea Bottom Feeders,Paying,38.0,0.0,10,38.0,10
All Bronn and no brains,Paying,38.0,0.0,10,38.0,10
Ser Hand Rale of House Bannister,Paying,37.0,0.0,12,37.0,12
Sept of Baylor was an Inside job,Paying,37.0,0.0,12,37.0,12
Little Fingers’ Little Finger,Paying,36.0,0.0,14,36.0,14
Bronn: The Decision,Paying,36.0,0.0,14,36.0,14
The Ed Sheeran Fan Club,Paying,36.0,0.0,14,36.0,14
Mountain Mellon Crushers,Paying,35.0,0.0,17,35.0,17
Lord Ben-ish,Paying,34.0,0.0,18,34.0,18
"S'now way, Jose!",Paying,34.0,0.0,18,34.0,18
The House of Lesbian Poets,Paying,33.0,0.0,20,33.0,20
That’s what I do: I drink and I know things.,Paying,31.0,0.0,21,31.0,21
"Arya Ready Kids? (Aye, Aye, Captain of the Guards!)",Paying,31.0,0.0,21,31.0,21
"Breaker of Fasts, Mother of Brunches",Paying,31.0,0.0,21,31.0,21
Lady Stoneheart,Paying,31.0,0.0,21,31.0,21
"Ygritte in the Streets, Khaleesi in the Sheets",Paying,31.0,0.0,21,31.0,21
A Girl Has No Team Name,Paying,31.0,0.0,21,31.0,21
Sword Swallowers through and through,Paying,30.0,0.0,27,30.0,27
House Magnus,Free,30.0,0.0,27,30.0,27
No Ygrittes,Paying,28.0,0.0,29,28.0,29
Lil' Jon Snow White,Paying,28.0,0.0,29,28.0,29
Just Here for CleganeBowl,Paying,28.0,0.0,29,28.0,29
Aaron on the Throne,Paying,28.0,0.0,29,28.0,29
Davis the Bastard of Voltron,Paying,27.0,0.0,33,27.0,33
Xander's Dragons,Paying,26.0,0.0,34,26.0,34
Matton Of The Hounds,Paying,25.0,0.0,35,25.0,35
Sand Snake Realness,Paying,25.0,0.0,35,25.0,35
Stark Raving Mad,Paying,25.0,0.0,35,25.0,35
"Ser Dunton, Knight of the Laughing Tree",Paying,24.0,0.0,38,24.0,38
Arya Dead Yet?,Paying,24.0,0.0,38,24.0,38
A Team Has No Name,Paying,23.0,0.0,40,23.0,40
Tormund's Member Rewards Club,Paying,22.0,0.0,41,22.0,41
A Wizard of Cersei,Paying,21.0,0.0,42,21.0,42
Bri-Anne,Paying,21.0,0.0,42,21.0,42
Enjol-Raki,Paying,16.0,,44,,
